ID Lead,Nome do Lead,Razão Social,CNPJ,Contato Principal,E-mail,Telefone,Cidade,Estado,CEP,Bairro,Complemento,Origem,Funil,Etapa do Funil,Status,Responsável,Data de Criação,Hora de Criação,Dias no Funil,Data de Perda,Motivo de Perda,ID Oportunidade,Status da Oportunidade,Data da Oportunidade,ID Cliente,Nome do Cliente,Razão Social Cliente,Data do Pedido,Valor do Pedido,TAGS,Código Externo,ID Lista,Atividade,Faturamento,Segmento,Nome Completo,Indique Ganhe
1,Débora - Teste,Guarani - Teste,08019257000105,Débora - Teste,debora.duarte@guaranisistemas.com.br,(11) 99855-7580,,,,,,Outbound,Fluxo Padrão,Nutir,Em andamento,Rayssa Karapeticov,06/11/2024,10:50:36,537,,,,,,,,,,,,,,,,,,
2,Fernanda Santiago,FERNANDA TESTE,,Fernanda Santiago,fernanda.santiago@guaranisistemas.com.br,,,,,,,,Fluxo Padrão,Nutir,Em andamento,Rayssa Karapeticov,06/11/2024,16:48:19,473,,,,,,,,,,,,,,,,,,
12,Selmo Fernandes,MBA ALUMINIOS LTDA.,22752240000185,Selmo Fernandes,selmofilho@mbaluminios.com.br,(37) 99856-9457,ITAUNA,,,,,Outbound,Fluxo Padrão,Conectados Com Interesse (MQL),Ganho,Paulo Souza,06/11/2024,22:03:35,605,,,145,Perdido,07/01/2025,1,MBA ALUMINIOS LTDA.,MBA ALUMINIOS LTDA.,,,SDRDébora,,,,,,,
13,6F DECORAÇÃO,6F DECORAÇÃO,01368233000104,Marcelo Felmanas  ,joice.raul@6f.com.br,(11) 97654-4565,Cotia,São Paulo,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,06/11/2024,23:13:49,608,10/12/2024,Sem interesse após contato,,,,,,,,,Importado a partir de lista,,6,,,,,
14,Copal Distribuidora,Copal Distribuidora,82900713000176,Copal Distribuidora,silvio@copalalimentos.com.br,(48) 3246-2244,São Jose,SC,,Serraria São José,,Outbound,Fluxo Padrão,Nutir,Em andamento,Rayssa Karapeticov,07/11/2024,00:24:55,48,,,,,,,,,,,,,12,,,,Silvio Valério,
15,TAPETES ABADE,TAPETES ABADE,13869750000146,TAPETES ABADE,admabade@tapetesabade.com.br,1147024113,Cotia,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,00:24:55,607,03/12/2024,Fora do segmento atendido,,,,,,,,,Importado a partir de lista,,12,,,,Odete Abade,
16,ADOMES,ADOMES,09568330000152,ADOMES,adomes@adomes.com.br,4432677000,Maringá,PR,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,00:24:55,607,19/11/2024,Fora do segmento atendido,,,,,,,,,Importado a partir de lista,,12,,,,Lucas Gama,
17,ÁKORA,ÁKORA,11394501000116,ÁKORA,marcia@akora.com.br,11939429999,SBC,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,00:24:55,607,19/11/2024,Contato já é cliente com dúvida / direcionado ao suporte,,,,,,,,,Importado a partir de lista,,12,,,,Marcia Toyoshima,
18,AMTEX IMPORTAÇÃO,AMTEX IMPORTAÇÃO,,AMTEX IMPORTAÇÃO,amteximport@gmail.com,11991410899,SJC,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,00:24:55,607,04/12/2024,Sem interesse após contato,,,,,,,,,Importado a partir de lista,,12,,,,Alejandro Daniel Milano,
19,CASA PALMER,CASA PALMER,30643814000105,CASA PALMER,camila@casapalmer.com.br,11993613974,São Paulo,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,00:24:55,607,04/12/2024,Sem interesse após contato,,,,,,,,,Importado a partir de lista,,12,,,,Camila Bergamo,
