ID Prospect,Nome do Prospect,Razão Social,CNPJ,Contato Principal,E-mail,Telefone,Cidade,Estado,CEP,Bairro,Rua,Complemento,País,Origem,Funil,Etapa do Funil,Responsável,Ativo,Enriquecido,Data de Enriquecimento,Data de Criação,Hora de Criação,Data de Atualização,Hora de Atualização,Data de Perda,Motivo de Perda,TAGS,Código Externo,ID Lista,Departamento,Atividade,Faturamento,Segmento,Nome Completo,Indique Ganhe
2268,Rosil Embalagens Plasticas Ltda,Rosil Embalagens Plasticas Ltda,43871946000136,Rosil Embalagens Plasticas Ltda,leandro@rosil.com.br,(11) 2085-4140,MOGI DAS CRUZES,SP,08772011,TABOAO,EST YONEJI NAKAMURA,,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,0,,27/06/2025,17:02:37,27/06/2025,17:07:26,,,,,,,,,,,
2258,Industria E Comercio De Artef De Borracha Haiti Ltda,Industria E Comercio De Artef De Borracha Haiti Ltda,63065577000100,Industria E Comercio De Artef De Borracha Haiti Ltda,nfe@haiti.com.br,(11) 3277-0210,ITAQUAQUECETUBA,SP,08597630,QUINTA DA BOA VISTA (INDUSTRIAL),R FLOR DE NOIVA,,,Base de empresas Leads2b,Prospect,Enriquecido,Junior Lopes,,1,23/07/2025,27/06/2025,15:59:52,23/07/2025,10:23:02,,,,,,,,,,,
2252,Plasvipel Ltda,Plasvipel Ltda,03170878000163,Plasvipel Ltda,null,,BAURU,SP,17034280,DISTRITO INDUSTRIAL,RUA WALDEMAR PEREIRA DA SILVEIRA,,,Base de empresas Leads2b,Prospect,Não Enriquecido,Paulo Souza,,0,,27/06/2025,15:52:41,17/11/2025,15:02:48,,,zapPaulo,,,,,,,,
2255,Alpack Do Brasil Industria E Comercio De Embalagens E Maquinas Ltda,Alpack Do Brasil Industria E Comercio De Embalagens E Maquinas Ltda,28543527000181,Alpack Do Brasil Industria E Comercio De Embalagens E Maquinas Ltda,contato@alpack.com.br,(14) 3235-4411,BAURU,SP,17039760,DISTRITO INDUSTRIAL MARCUS VINICIUS FELIZ MACHADO,RUA LAUREANO GARCIA,BRCAO .,,Base de empresas Leads2b,Prospect,Não Enriquecido,Paulo Souza,,0,,27/06/2025,15:54:34,21/11/2025,15:25:22,,,fimzap;zapPaulo,,,,,,,,
2264,Lacres Zenith Comercio & Industria De Materiais De Seguranca Ltda,Lacres Zenith Comercio & Industria De Materiais De Seguranca Ltda,10428815000120,Lacres Zenith Comercio & Industria De Materiais De Seguranca Ltda,lacrszenith@hotmail.com,(11) 9965-2514,SAO PAULO,SP,03383070,CAPAO DO EMBIRA,RUA CONSTANTINO FUSCO,,,Base de empresas Leads2b,Prospect,Não Enriquecido,Paulo Souza,,0,,27/06/2025,16:09:29,26/11/2025,11:25:55,,,fimzap;zapPaulo,,,,,,,,
2251,Embalixo Industria E Comercio De Embalagens Plasticas Ltda,Embalixo Industria E Comercio De Embalagens Plasticas Ltda,19572597000258,Embalixo Industria E Comercio De Embalagens Plasticas Ltda,contabilidade@embalixo.com.br,(19) 3716-8699,HORTOLANDIA,SP,13184889,JARDIM NOVA EUROPA,AV CARLOS ROBERTO PRATAVIERA,,,Base de empresas Leads2b,Prospect,Enriquecido,Junior Lopes,,1,23/07/2025,27/06/2025,15:37:39,09/12/2025,22:28:12,,,,,,,,,,,
2281,Pro-cooking Industria E Comercio De Alimentos Ltda,Pro-cooking Industria E Comercio De Alimentos Ltda,06318421000141,Pro-cooking Industria E Comercio De Alimentos Ltda,financeiro@procooking.com.br,(19) 3852-3523,PEDREIRA,SP,13925400,JARDIM SANTA CLARA,ESTM HAMILTON BERNARDES,,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,0,,30/06/2025,16:21:21,30/06/2025,16:22:08,,,,,,,,,,,
2303,Enerplast Industria E Comercio De Plasticos Ltda,Enerplast Industria E Comercio De Plasticos Ltda,36927233000181,Enerplast Industria E Comercio De Plasticos Ltda,associativo@b2con.com.br,(19) 3381-1000,CAMPINAS,SP,13082030,CHACARAS CAMPOS DOS AMARAIS,R FRANCISCO CEARA BARBOSA,,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,0,,04/07/2025,10:23:50,04/07/2025,10:23:50,,,,,,,,,,,
2312,"Etiq Plast Industria E Comercio, Importacao E Exportacao Ltda","Etiq Plast Industria E Comercio, Importacao E Exportacao Ltda",01820004000189,"Etiq Plast Industria E Comercio, Importacao E Exportacao Ltda",avisos.soc@novaamerica.net,(19) 3475-9970,AMERICANA,SP,13474770,LOTEAMENTO INDUSTRIAL SALTO GRANDE I,R DO NYLON,,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,0,,04/07/2025,10:51:20,04/07/2025,10:51:20,,,,,,,,,,,
2314,Mega Pead Tubos E Conexoes Ltda,Mega Pead Tubos E Conexoes Ltda,26482510000136,Mega Pead Tubos E Conexoes Ltda,societario@contmaisassessoria.com.br,(19) 3325-9211,CAMPINAS,SP,13040109,JARDIM NOVA EUROPA,R SERRA AZUL,,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,0,,04/07/2025,10:52:19,04/07/2025,10:52:19,,,,,,,,,,,
